FullName,ImpactFactor
Social Studies of Science,1.293
International Journal of Social Psychiatry,1.292
World Journal of Biological Psychiatry,1.292
Animal Microbiome,1.291
Applied Health Economics and Health Policy,1.291
Cognitive Research: Principles and Implications,1.291
Environment and Planning C: Politics and Space,1.291
Journal of Medical Virology,1.291
Molecular Biology of the Cell,1.291
Physiologia Plantarum,1.291
Studies in Educational Evaluation,1.291
Tunisian Journal of Mathematics,1.291
Anthropocene Review,1.29
Journal of Trauma and Acute Care Surgery,1.29
Science Technology and Human Values,1.29
JMIR Public Health and Surveillance,1.289
Micro and Nano Systems Letters,1.289
AMS Review,1.288
Environmental Advances,1.288
Journal of Clinical Psychology,1.288
Physical Review Applied,1.288
Research and Practice for Persons with Severe Disabilities,1.288
ACS Macro Letters,1.287
Financial Innovation,1.287
JID Innovations,1.287
Journal of Molecular Endocrinology,1.287
Journal of NeuroEngineering and Rehabilitation,1.287
Journal of Personality Assessment,1.287
Stem Cells,1.287
Advances in Anatomic Pathology,1.286
Environmental and Sustainability Indicators,1.286
Journal of Intensive Care,1.286
Law and Society Review,1.286
Advances in Differential Equations,1.285
Clinical and Translational Gastroenterology,1.285
Global Networks,1.285
International Journal of Biological Macromolecules,1.285
Journal of Geographical Sciences,1.285
Journal of Immunotherapy and Precision Oncology,1.285
Sleep Health,1.285
American Journal of Bioethics,1.284
IEEE Transactions on Emerging Topics in Computing,1.284
Solar Energy Materials and Solar Cells,1.284
ACM Transactions on Software Engineering and Methodology,1.283
Critical Reviews in Plant Sciences,1.283
Journal of Virology,1.283
Archives of Gerontology and Geriatrics,1.282
Automotive Innovation,1.282
Industrial and Corporate Change,1.28
Journal of Nutritional Biochemistry,1.28
Justice Quarterly,1.28
Language in Society,1.28
Materials Today Chemistry,1.28
Neurogastroenterology and Motility,1.28
"Science China: Physics, Mechanics and Astronomy",1.28
Soft Science,1.28
Clinical Immunology,1.279
Health Psychology,1.279
Industrial Management and Data Systems,1.279
International Journal of Sustainable Development and World Ecology,1.279
Journal of Earth Science,1.279
Antimicrobial Resistance and Infection Control,1.278
Economic History Review,1.278
Food Engineering Reviews,1.278
Traffic,1.278
Acta Astronautica,1.277
Asia-Pacific Journal of Ophthalmology,1.277
Journal of Analytical and Applied Pyrolysis,1.277
IEEE Systems Journal,1.276
Inorganic Chemistry Frontiers,1.276
International Review of Psychiatry,1.276
Journal of Cognitive Neuroscience,1.276
Theoretical and Applied Fracture Mechanics,1.276
Xinxing Tan Cailiao/New Carbon Materials,1.276
Current Research in Microbial Sciences,1.275
Reproductive Health,1.275
Acta Obstetricia et Gynecologica Scandinavica,1.274
American Journal of Science,1.273
Data Science and Engineering,1.273
Forensic Science International: Genetics,1.273
International Journal of Molecular Sciences,1.273
World Allergy Organization Journal,1.273
BMC Nursing,1.272
Environmental Development,1.272
Eye (Basingstoke),1.272
Journal of Nonlinear Science,1.272
Virchows Archiv,1.272
Geographical Analysis,1.271
Machine Intelligence Research,1.271
Oeconomia Copernicana,1.271
Remote Sensing in Ecology and Conservation,1.271
Computerized Medical Imaging and Graphics,1.27
Economics of Education Review,1.27
Inflammation,1.27
Combinatorica,1.269
Inflammopharmacology,1.269
Orphanet Journal of Rare Diseases,1.269
Pediatric Allergy and Immunology,1.269
ACS ES and T Water,1.268
Epijournal de Geometrie Algebrique,1.268
Global Mental Health,1.268
npj Science of Food,1.268
Scandinavian Journal of Public Health,1.268
Statistics in Medicine,1.268
Expert Opinion on Investigational Drugs,1.267
Journal of Clinical Lipidology,1.267
Language Learning Journal,1.267
MIS Quarterly Executive,1.267
Population Studies,1.267
Eating Disorders,1.266
Surgery for Obesity and Related Diseases,1.266
American Naturalist,1.265
Food Control,1.265
Health and Quality of Life Outcomes,1.265
Muscle and Nerve,1.265
Psychophysiology,1.265
Reproductive Biology and Endocrinology,1.265
IEEE Transactions on Reliability,1.264
Journal of Cellular and Molecular Medicine,1.264
Journal of Early Adolescence,1.264
Journal of Healthcare Leadership,1.264
Journal of Orthopaedics and Traumatology,1.264
Sex Roles,1.264
BMJ Health and Care Informatics,1.263
Internet Policy Review,1.263
Journal of Business Finance and Accounting,1.263
Journal of Prosthetic Dentistry,1.263
Nonlinearity,1.262
Plant and Soil,1.262
Ore Geology Reviews,1.261
PLOS Climate,1.261
Cellular Immunology,1.26
Journal of the American Academy of Orthopaedic Surgeons,1.26
Translational Behavioral Medicine,1.26
Bulletin of the American Museum of Natural History,1.259
Convergence,1.259
Administration and Policy in Mental Health and Mental Health Services Research,1.258
Cancer Epidemiology,1.258
"Environmental Nanotechnology, Monitoring and Management",1.258
IEEE Geoscience and Remote Sensing Letters,1.258
Orthopaedic Journal of Sports Medicine,1.258
aBIOTECH,1.257
Biometrics,1.257
Borderline Personality Disorder and Emotion Dysregulation,1.257
IEEE Transactions on Computational Social Systems,1.257
Journal of Biomedical Informatics,1.257
Aquatic Toxicology,1.256
Case Studies in Chemical and Environmental Engineering,1.256
Computational Mechanics,1.256
Current Opinion in Ophthalmology,1.256
Ecological Processes,1.256
Food Innovation and Advances,1.256
Insights into Imaging,1.256
Journal of Criminal Justice,1.256
Theoretical and Applied Genetics,1.256
Cognitive and Behavioral Practice,1.255
Engineering Fracture Mechanics,1.255
Expert Opinion on Therapeutic Targets,1.255
Expert Review of Vaccines,1.255
Hematology/Oncology Clinics of North America,1.255
Aesthetic Surgery Journal,1.254
Asia-Pacific Education Researcher,1.254
Child Psychiatry and Human Development,1.254
Frontiers of Medicine,1.254
IEEE Transactions on Cloud Computing,1.254
Journal of Epidemiology,1.254
Laboratory Investigation,1.254
Medical Teacher,1.254
Annals of the American Academy of Political and Social Science,1.253
Journal of Educational and Behavioral Statistics,1.253
Language Assessment Quarterly,1.253
Strategic Change,1.253
Drugs and Aging,1.252
International Reviews of Immunology,1.252
Psicothema,1.252
Psychology and Sexuality,1.252
Topics in Cognitive Science,1.252
AIDS and Behavior,1.251
Journal of Neuroimmune Pharmacology,1.251
Bone,1.25
Earthquake Spectra,1.25
European Journal of Anaesthesiology,1.25
JCO Clinical Cancer Informatics,1.25
Journal of Dairy Science,1.25
Molecular Microbiology,1.25
Pain Reports,1.25
Temperature,1.25
Australasian Journal of Educational Technology,1.249
"Brain, Behavior, and Immunity - Health",1.249
Contact Lens and Anterior Eye,1.249
CPT: Pharmacometrics and Systems Pharmacology,1.249
Endoscopy,1.249
IEEE Transactions on Cognitive and Developmental Systems,1.249
"International Journal of Minerals, Metallurgy and Materials",1.249
Neurosurgery,1.249
Plant Diversity,1.249
Seismological Research Letters,1.249
Applied Ocean Research,1.248
Cognitive Therapy and Research,1.248
Journal of Geometric Analysis,1.248
Journal of Magnetic Resonance Imaging,1.248
"Substance Abuse: Treatment, Prevention, and Policy",1.248
Vaccine,1.248
"Work, Aging and Retirement",1.248
Batteries and Supercaps,1.247
Frontiers of Neurology and Neuroscience,1.247
Korean Journal of Radiology,1.247
Digital Discovery,1.246
Gas Science and Engineering,1.246
IEEE Open Access Journal of Power and Energy,1.246
Journal of Extracellular Biology,1.246
Mathematical Thinking and Learning,1.246
"Mathematics of Control, Signals, and Systems",1.246
Brain Structure and Function,1.245
Communications in Contemporary Mathematics,1.245
Drug Metabolism and Disposition,1.245
Implementation Science Communications,1.245
Information Society,1.245
Journal of the Association for Information Science and Technology,1.245
Marketing Intelligence and Planning,1.245
Nanoscale,1.245
Ocean and Coastal Management,1.245
Clinical Hematology International,1.244
Extreme Mechanics Letters,1.244
Journal of Computing in Civil Engineering,1.244
Journal of the Japanese and International Economies,1.244
Mathematics Education Research Journal,1.244
Measurement: Journal of the International Measurement Confederation,1.244
Water Resources and Industry,1.244
Food Frontiers,1.243
Frontiers in Molecular Biosciences,1.243
Journal of Eating Disorders,1.243
Journal of Family Violence,1.243
Nutrition and Metabolism,1.243
Translational Lung Cancer Research,1.243
Zoological Research,1.243
Bulletin of Earthquake Engineering,1.242
EPJ Quantum Technology,1.242
Global Health Research and Policy,1.242
Journal of Archaeological Science,1.242
Linguistics and Philosophy,1.242
Mitochondrion,1.242
ACS Synthetic Biology,1.241
BJS Open,1.241
European Review of Aging and Physical Activity,1.241
Journal of Computational and Graphical Statistics,1.241
American Journal of Physiology - Lung Cellular and Molecular Physiology,1.24
Building Simulation,1.24
Lipids in Health and Disease,1.24
Cellular Signalling,1.239
Frontiers in Climate,1.239
International Immunopharmacology,1.239
Journal of Neuroscience Research,1.239
Library Hi Tech News,1.239
Progress in Biomedical Engineering,1.239
British Journal of Criminology,1.238
Cambridge Prisms: Coastal Futures,1.238
Database : the journal of biological databases and curation,1.238
European Journal of Industrial Relations,1.238
Lithos,1.238
Comparative Education,1.237
Current Opinion in HIV and AIDS,1.237
Future Foods,1.237
mSphere,1.237
Patient Education and Counseling,1.237
Polymer Degradation and Stability,1.237
Advances in Therapy,1.236
Journal of Biological Engineering,1.236
Journal of Psychopathology and Clinical Science,1.236
npj Systems Biology and Applications,1.236
Journal of Mathematical Behavior,1.235
Organic Letters,1.235
"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",1.235
ACM Transactions on Mathematical Software,1.234
Journal of Inherited Metabolic Disease,1.234
Journal of the American College of Surgeons,1.234
Annals of Gastroenterological Surgery,1.233
Environmental Reviews,1.233
Journal of Autism and Developmental Disorders,1.233
Journal of Cardiopulmonary Rehabilitation and Prevention,1.233
Journal of Research on Educational Effectiveness,1.233
Neuronal Signaling,1.233
Physical Education and Sport Pedagogy,1.233
Physical Therapy,1.233
Transportation,1.233
Archives of Women's Mental Health,1.232
Esophagus,1.232
"Revista Internacional de Tecnologia, Ciencia y Sociedad",1.231
Sleep Medicine,1.231
South European Society and Politics,1.231
ACS Pharmacology and Translational Science,1.23
Calcified Tissue International,1.23
Journal of Mathematical Fluid Mechanics,1.23
"Journal of Nutrition, Health and Aging",1.23
Advances in Dental Research,1.229
Biochimica et Biophysica Acta - Gene Regulatory Mechanisms,1.229
Biomedical Signal Processing and Control,1.229
Journal of Endodontics,1.229
Progress in Organic Coatings,1.229
"Protein Engineering, Design and Selection",1.229
Cleaner Engineering and Technology,1.228
Deep Underground Science and Engineering,1.228
Autonomic Neuroscience: Basic and Clinical,1.227
Constructive Mathematical Analysis,1.227
Journal of Experimental Psychology: Learning Memory and Cognition,1.227
Space Policy,1.227
Annals of Thoracic Surgery,1.226
International Journal of Oncology,1.226
Meitan Xuebao/Journal of the China Coal Society,1.226
Psychology of Violence,1.226
Reproductive BioMedicine Online,1.226
Academic Emergency Medicine,1.225
Cellular and Molecular Neurobiology,1.225
Mediators of Inflammation,1.225
Infant Mental Health Journal,1.224
Management Accounting Research,1.224
Public Health,1.224
Advanced Quantum Technologies,1.223
Drug Discovery Today: Technologies,1.223
Harvard Law Review,1.223
Maternal and Child Nutrition,1.223
Pure and Applied Analysis,1.223
Urban Review,1.223
Annales de l'Institut Fourier,1.222
FEBS Letters,1.222
International Journal of Sport and Exercise Psychology,1.222
Journal of Statistical Distributions and Applications,1.222
Learning Environments Research,1.222
Plastic and Reconstructive Surgery,1.222
Giant,1.221
International Journal of Geriatric Psychiatry,1.221
Nutrition Journal,1.221
Cancer Cytopathology,1.22
CMAJ Open,1.22
Endoscopic Ultrasound,1.22
Frontiers in Pharmacology,1.22
Information and Inference,1.22
Journal of Materials Chemistry C,1.22
Journal of Outdoor Recreation and Tourism,1.22
Journal of Power Sources Advances,1.22
Journal of Race Ethnicity and the City,1.22
Journal of Systems Architecture,1.22
Microplastics,1.22
Clinical and Translational Science,1.219
Energy for Sustainable Development,1.219
Petroleum Science,1.219
Stem Cell Reviews and Reports,1.219
Intensive and Critical Care Nursing,1.218
International Journal of Research in Undergraduate Mathematics Education,1.218
"Journal of Guidance, Control, and Dynamics",1.218
Maturitas,1.218
ESAIM: Mathematical Modelling and Numerical Analysis,1.217
International Journal of Medical Microbiology,1.217
Policy Sciences,1.217
Women's Health Issues,1.217
Anatomical Sciences Education,1.216
Biomaterials Advances,1.216
Cell Structure and Function,1.216
DNA Research,1.216
Geosphere,1.216
Paediatric and Perinatal Epidemiology,1.216
Regenerative Biomaterials,1.216
Spine,1.216
AIDS Patient Care and STDs,1.215
Biomaterials Science,1.215
Engineering Microbiology,1.215
Journal of Agricultural and Food Chemistry,1.215
Journal of Endocrinological Investigation,1.215
"Journal of Open Innovation: Technology, Market, and Complexity",1.215
Journal of Inflammation (United Kingdom),1.214
Journal of Marketing Management,1.214
Kidney Medicine,1.214
Chinese Medical Journal,1.213
Journal of Hydrometeorology,1.213
Language and Education,1.213
Psycho-Oncology,1.213
Reviews in the Neurosciences,1.213
Schizophrenia Research,1.213
Biochimica et Biophysica Acta - Molecular and Cell Biology of Lipids,1.212
Cognition and Emotion,1.212
Journal of Attention Disorders,1.212
Journal of Mental Health,1.212
Topics in Early Childhood Special Education,1.212
Chemical Engineering Journal Advances,1.211
Common Market Law Review,1.211
CONTINUUM Lifelong Learning in Neurology,1.211
Surface and Coatings Technology,1.211
Ad Hoc Networks,1.21
"Energy, Sustainability and Society",1.21
Environmental Communication,1.21
"Technology, Knowledge and Learning",1.21
AIDS,1.209
Experimental Dermatology,1.209
Journal of Antimicrobial Chemotherapy,1.209
AI and Society,1.208
Journal of the Energy Institute,1.208
Nonprofit Management and Leadership,1.208
Proteomes,1.208
JCO Global Oncology,1.207
Journal of Higher Education,1.207
Pediatric Diabetes,1.207
Soils and Foundations,1.207
Atmospheric Environment,1.206
IMA Fungus,1.206
Journal of Pragmatics,1.206
Forest Policy and Economics,1.205
Journal of Pain and Symptom Management,1.205
Annals of Medicine,1.204
Natural Gas Industry B,1.204
Wear,1.204
Journal of Immunotherapy,1.203
mLife,1.203
Molecular Human Reproduction,1.203
Archives of Pathology and Laboratory Medicine,1.202
Cancer Biology and Therapy,1.202
"Journal of Elections, Public Opinion and Parties",1.202
Journal of Experimental Psychology: Human Perception and Performance,1.202
Maritime Economics and Logistics,1.202
One Health,1.202
Science in One Health,1.202
Seminars in Oncology,1.202
Sociologia Ruralis,1.202
Cancer Medicine,1.201
ECS Sensors Plus,1.201
Environmental Science: Nano,1.201
IEEE Transactions on Signal and Information Processing over Networks,1.201
IUCrJ,1.201
Lab on a Chip,1.201
Nonlinear Dynamics,1.201
Annals of Epidemiology,1.2
Biomedical Journal,1.2
Expert Opinion on Therapeutic Patents,1.2
Journal of Biological Rhythms,1.2
Journal of Innate Immunity,1.2
Molecular Phylogenetics and Evolution,1.2
Nanotheranostics,1.2
Advances in Industrial and Manufacturing Engineering,1.199
Biology Direct,1.199
Chinese Physics Letters,1.199
Parkinsonism and Related Disorders,1.199
China Quarterly,1.198
Cleaner and Responsible Consumption,1.198
Climate Services,1.198
Molecular and Cellular Endocrinology,1.198
Open Mind,1.198
PNAS Nexus,1.198
Virtual Reality,1.198
American Ethnologist,1.197
European Journal of Pharmacology,1.197
Mathematical Research Letters,1.197
Sociological Science,1.197
Therapeutic Advances in Infectious Disease,1.197
Research in Transportation Business and Management,1.196
Antiviral Research,1.195
Expert Opinion on Drug Discovery,1.195
Microbial Biotechnology,1.195
Nursing Outlook,1.195
Precision Clinical Medicine,1.195
Food and Function,1.194
"Housing, Theory and Society",1.194
International Journal of Disaster Risk Reduction,1.194
Journal of Endocrinology,1.194
ACS Bio and Med Chem Au,1.193
CIRP Annals,1.193
Journal of Clinical Virology,1.193
Journal of Pest Science,1.193
Neurochemistry International,1.193
Sociology of Health and Illness,1.193
American Journal of Hypertension,1.192
Food Structure,1.192
Frontiers in Psychiatry,1.192
Journal of Alloys and Compounds,1.192
Plant Molecular Biology,1.192
Health Equity,1.191
Molecular Brain,1.191
Professional Development in Education,1.191
Science China Mathematics,1.191
Sports Coaching Review,1.191
Transfer,1.191
BMC Bioinformatics,1.19
Child Maltreatment,1.19
"Drug Design, Development and Therapy",1.19
Journal of Reliable Intelligent Environments,1.19
Journal of Social and Personal Relationships,1.19
SSM - Mental Health,1.19
Chinese Sociological Review,1.189
Clinical Trials,1.189
International Journal of Medical Informatics,1.189
npj Materials Degradation,1.189
Systems and Control Letters,1.189
Wind Energy,1.189
Applied Linguistics Review,1.188
Chinese Journal of Chemistry,1.188
German Journal of Human Resource Management,1.188
Information Processing in Agriculture,1.188
Journal of Addiction Medicine,1.188
Journal of Strength and Conditioning Research,1.188
Spanish Journal of Psychology,1.188
Addiction Science and Clinical Practice,1.187
Asia Pacific Management Review,1.187
British Journal of Politics and International Relations,1.187
Clinical Colorectal Cancer,1.187
Journal of Cardiovascular Electrophysiology,1.187
Ophthalmology and Therapy,1.187
Therapeutic Advances in Psychopharmacology,1.187
ACM Transactions on Knowledge Discovery from Data,1.186
Asia Pacific Journal of Marketing and Logistics,1.186
Biological Research,1.186
Journal of Agrarian Change,1.186
Journal of Rare Earths,1.186
Journal of Urban Technology,1.186
Plant Science,1.186
Psychiatry Research - Neuroimaging,1.186
Journal of Traumatic Stress,1.185
Management Communication Quarterly,1.185
Socius,1.185
Appetite,1.184
"Chaos, Solitons and Fractals",1.184
Current Research in Neurobiology,1.184
Management International Review,1.184
Environmental Challenges,1.183
IEEE Industrial Electronics Magazine,1.183
Journal of Applied Crystallography,1.183
Journal of Gambling Studies,1.183
Journal of Refractive Surgery,1.183
Endocrine Practice,1.182
Fundamental Research,1.182
Immunometabolism (United States),1.182
Korean Journal of Anesthesiology,1.182
npj Science of Learning,1.182
Cancer Causes and Control,1.181
Dialogues in Human Geography,1.181
European Journal of Engineering Education,1.181
Neural Regeneration Research,1.181
Journal of Gastroenterology and Hepatology (Australia),1.18
"Language, Culture and Curriculum",1.18
Project Management Journal,1.18
Therapeutic Advances in Hematology,1.18
Cell and Tissue Research,1.179
Clinical Autonomic Research,1.179
Early Childhood Education Journal,1.179
Food and Bioprocess Technology,1.179
Microbial Cell,1.179
Neurobiology of Language,1.179
Psychologica Belgica,1.179
BMC Cancer,1.178
Ethnicity and Health,1.178
IEEE Transactions on Terahertz Science and Technology,1.178
Journal of Professions and Organization,1.178
Technical Communication Quarterly,1.178
Economic Development and Cultural Change,1.177
Geothermics,1.177
Neurocritical Care,1.177
Dianwang Jishu/Power System Technology,1.176
Exposure and Health,1.176
Forest Ecosystems,1.176
Industrial and Organizational Psychology,1.176
Journal of Strategic Marketing,1.176
Poetics,1.176
Punishment and Society,1.176
VLDB Journal,1.176
Biochemistry,1.175
Drug Delivery and Translational Research,1.175
International Journal of Human-Computer Interaction,1.175
Journal of Cross-Cultural Psychology,1.175
Women in Sport and Physical Activity Journal,1.175
BMC Health Services Research,1.174
Bulletin of the London Mathematical Society,1.174
Chinese Journal of Structural Chemistry,1.174
Current Opinion in Infectious Diseases,1.174
Discourse and Society,1.174
Frontiers of Physics,1.174
Helicobacter,1.174
International Public Management Journal,1.174
NanoImpact,1.174
Genome Biology and Evolution,1.173
"Psychological Trauma: Theory, Research, Practice, and Policy",1.173
Energy Reports,1.172
Evolution,1.172
Frontiers in Microbiology,1.172
Gastroenterology Clinics of North America,1.172
Health Reports,1.172
International Journal of Geo-Engineering,1.172
Journal of Global Health,1.172
"Discourse, Context and Media",1.171
Genes and Cancer,1.171
Journal of Global Fashion Marketing,1.171
Journal of Research in Reading,1.171
Pediatric Research,1.171
Results in Engineering,1.171
Computer Networks,1.17
JOR Spine,1.17
Journal of Physics G: Nuclear and Particle Physics,1.17
Journal of Regional Science,1.17
Granular Computing,1.169
Marine Policy,1.169
Current Research in Structural Biology,1.168
Cyber Security and Applications,1.168
Discrete Analysis,1.168
Fire Ecology,1.168
Nonlinear Analysis: Real World Applications,1.168
Reading and Writing,1.168
Robotics and Autonomous Systems,1.168
Social Networks,1.168
Animal Models and Experimental Medicine,1.167
Current Research in Green and Sustainable Chemistry,1.167
European Journal of Clinical Investigation,1.167
Geoenergy Science and Engineering,1.167
Infection,1.167
International Journal of Health Policy and Management,1.167
Journal of Bridge Engineering,1.167
Journal of Theoretical Social Psychology,1.167
Perspectives on Public Management and Governance,1.167
Restoration Ecology,1.167
BMJ Open Gastroenterology,1.166
China and World Economy,1.166
Current Tropical Medicine Reports,1.166
European Journal of Internal Medicine,1.166
Journal of Alzheimer's Disease,1.166
Journal of the Academy of Nutrition and Dietetics,1.166
ACM Transactions on Computer-Human Interaction,1.165
Basin Research,1.165
Early Education and Development,1.165
Experimental Gerontology,1.165
Geochronology,1.165
Journal of Cancer Policy,1.165
Publications,1.165
Therapeutic Advances in Drug Safety,1.165
ACM Transactions on Human-Robot Interaction,1.164
Developmental Biology,1.164
Policy Insights from the Behavioral and Brain Sciences,1.164
Thinking and Reasoning,1.164
Creativity and Innovation Management,1.163
Frontiers in Plant Science,1.163
International Journal of Climatology,1.163
International Journal of Food Microbiology,1.163
Plant Nano Biology,1.163
Expert Review of Neurotherapeutics,1.162
Journal of Career Development,1.162
Anesthesia and Analgesia,1.161
Bulletin of Engineering Geology and the Environment,1.161
European Journal of Sport Science,1.161
Journal of Composites for Construction,1.161
Journal of Endourology,1.161
Magnetic Resonance in Medicine,1.161
Scandinavian Political Studies,1.161
Biomass and Bioenergy,1.16
IEEE Journal on Emerging and Selected Topics in Circuits and Systems,1.16
Intelligence,1.16
International Journal of Thermal Sciences,1.16
Journal of Southern Hemisphere Earth Systems Science,1.16
Kidney Research and Clinical Practice,1.16
Obesity Pillars,1.16
RSC Chemical Biology,1.16
Seminars in Fetal and Neonatal Medicine,1.16
Addiction Biology,1.159
Ageing and Society,1.159
British Journal of Mathematical and Statistical Psychology,1.159
Engineering Failure Analysis,1.159
Health Education and Behavior,1.159
Insurance: Mathematics and Economics,1.159
Journal of Food Engineering,1.159
Journal of Materials Chemistry B,1.159
Journal of Higher Education Policy and Management,1.158
Global Finance Journal,1.157
Immunology and Cell Biology,1.157
International Journal of Social Robotics,1.157
Psychopharmacology,1.157
IEEE Transactions on Computers,1.156
Journal of Xenobiotics,1.156
Mathematische Zeitschrift,1.156
British Journal of Clinical Pharmacology,1.155
Environmental Epigenetics,1.155
Large-Scale Assessments in Education,1.155
Advanced Materials Interfaces,1.154
Classical and Quantum Gravity,1.154
Computational Linguistics,1.154
Family Medicine and Community Health,1.154
International Journal of Psychology,1.154
Journal of Internet Commerce,1.154
Nature and Science of Sleep,1.154
NEJM Evidence,1.154
Ecological Engineering,1.153
European Journal of Neuroscience,1.153
European Journal of Surgical Oncology,1.153
Feminist Media Studies,1.153
Global Spine Journal,1.153
Heart Rhythm O2,1.153
International Journal for Parasitology,1.153
Journal of Responsible Innovation,1.153
Rice Science,1.153
Transplantation Reviews,1.153
Transportation Research Part F: Traffic Psychology and Behaviour,1.153
Annals of Surgical Oncology,1.152
Behavioral Sciences of Terrorism and Political Aggression,1.152
Biogerontology,1.152
Composites Part C: Open Access,1.152
Diabetology and Metabolic Syndrome,1.152
Ear and Hearing,1.152
Journal of Nutrition,1.152
Journal of Safety Research,1.152
Scientometrics,1.152
Communications Engineering,1.151
Decision Making: Applications in Management and Engineering,1.151
Acta Orthopaedica,1.15
AJPM Focus,1.15
Atmospheric Environment: X,1.15
Expert Opinion on Biological Therapy,1.15
IEEE Electron Device Letters,1.15
Library Hi Tech,1.15
Review Journal of Autism and Developmental Disorders,1.15
Soil Ecology Letters,1.15
Critical Care Clinics,1.149
Journal of Frailty and Aging,1.149
Journal of Sustainable Cement-Based Materials,1.149
Memory and Cognition,1.149
Microbiology Spectrum,1.149
ASN Neuro,1.148
"European Journal of Mechanics, A/Solids",1.148
Feminist Criminology,1.148
Global Journal of Flexible Systems Management,1.148
Obesity Surgery,1.148
Critical Reviews in Toxicology,1.147
Environmental and Experimental Botany,1.147
Journal of LGBT Youth,1.147
Machine Learning,1.147
Climate and Development,1.146
Communications of the ACM,1.146
Journal of Sustainable Finance and Investment,1.146
Journal of Diabetes Investigation,1.145
Journal of Philosophy,1.145
Journal of the Neurological Sciences,1.145
Viruses,1.145
Aging Clinical and Experimental Research,1.144
Analysis and Applications,1.144
Defence Technology,1.144
European Journal of Political Economy,1.144
IUBMB Life,1.144
JMIR Serious Games,1.144
Journal of Critical Realism,1.144
Public Understanding of Science,1.144
Seminars in Perinatology,1.144
Sociology of Religion,1.144
Basic and Applied Ecology,1.143
Complex and Intelligent Systems,1.143
Journal of Aging and Health,1.143
Journal of Oral Microbiology,1.143
Malaria Journal,1.143
Molecular Nutrition and Food Research,1.143
Neurophotonics,1.143
Youth and Society,1.143
Biomacromolecules,1.142
Computer Standards and Interfaces,1.142
Environmental Health and Preventive Medicine,1.142
European Journal of Medicinal Chemistry,1.142
European Management Review,1.142
Geophysical Journal International,1.142
Groundwater for Sustainable Development,1.142
Journal of Ethnopharmacology,1.142
"SAE International Journal of Vehicle Dynamics, Stability, and NVH",1.142
Sociological Review,1.142
International Journal of Intelligent Systems,1.141
Progress in Biophysics and Molecular Biology,1.141
Psychology of Women Quarterly,1.141
Advanced Intelligent Systems,1.14
Chinese Journal of Population Resources and Environment,1.14
Intermetallics,1.14
Journal of Inflammation Research,1.14
Law and Human Behavior,1.14
NEJM Catalyst Innovations in Care Delivery,1.14
Research and Politics,1.14
"Cognitive, Affective and Behavioral Neuroscience",1.139
Food Quality and Preference,1.139
Journal of Neuro-Oncology,1.139
Journal of Proteome Research,1.139
Marine Life Science and Technology,1.139
Menopause,1.139
Nutritional Neuroscience,1.139
Tropical Cyclone Research and Review,1.139
World Journal of Men's Health,1.139
ASTIN Bulletin,1.138
"Educational Assessment, Evaluation and Accountability",1.138
Extractive Industries and Society,1.138
Journal of Cell Communication and Signaling,1.138
SciPost Physics Core,1.138
Electric Power Systems Research,1.137
Human Gene Therapy,1.137
Journal of Prosthodontic Research,1.137
Pediatric Obesity,1.137
Textiles,1.137
Archives of Physical Medicine and Rehabilitation,1.136
European Financial Management,1.136
Journal of Cognition and Development,1.136
Journal of Graduate Medical Education,1.136
Soil Use and Management,1.136
American Journal of Orthodontics and Dentofacial Orthopedics,1.135
Journal of Managerial Psychology,1.135
Journal of Rheumatology,1.135
Mineralogical Magazine,1.135
Research in Transportation Economics,1.135
Self and Identity,1.135
Autism and Developmental Language Impairments,1.134
Behavioural Public Policy,1.134
BMC Plant Biology,1.134
British Educational Research Journal,1.134
IEEE Transactions on Engineering Management,1.134
International Journal of Multilingualism,1.134
Journal of Hospitality and Tourism Insights,1.134
Journal of Macromarketing,1.134
Clinical Rehabilitation,1.133
Combinatorics Probability and Computing,1.133
International Review of Administrative Sciences,1.133
Journal of Advanced Manufacturing Science and Technology,1.133
Journal of Science: Advanced Materials and Devices,1.133
Maritime Transport Research,1.133
Counseling Psychologist,1.132
European Journal of Social Theory,1.132
Hepatology Research,1.132
IEEE Transactions on Human-Machine Systems,1.132
International Journal of Cardiology,1.132
Journal of Community Health,1.131
American Journal of Neuroradiology,1.13
Clinical Genitourinary Cancer,1.13
Computer Methods and Programs in Biomedicine,1.13
JBMR Plus,1.13
Journalism and Mass Communication Educator,1.13
FEMS Microbiology Ecology,1.129
"Health Promotion and Chronic Disease Prevention in Canada : Research, Policy and Practice",1.129
Journal of Mathematical Logic,1.129
Journal of Mental Health Policy and Economics,1.129
Nurse Education in Practice,1.129
Health Care Management Review,1.128
Infancy,1.128
Jiegou Huaxue,1.128
Journal of Anthropological Archaeology,1.128
"Psychology of Aesthetics, Creativity, and the Arts",1.128
Resource and Energy Economics,1.128
"Technology, Pedagogy and Education",1.128
A e C - Revista de Direito Administrativo e Constitucional,1.127
Drug Safety,1.127
Journal of Neural Engineering,1.127
Applied Mathematical Modelling,1.126
Asian Journal of Psychiatry,1.126
Cognitive Science,1.126
Community Mental Health Journal,1.126
Fungal Systematics and Evolution,1.126
BMB Reports,1.125
Clinical Diabetes,1.125
Expert Review of Clinical Immunology,1.125
Psychological Inquiry,1.125
Studies in Applied Mathematics,1.125
Advances in Engineering Software,1.124
APL Materials,1.124
Cellular Microbiology,1.124
