category,journal_title,e_issn,impact_factor,impact_factor_raw
Immunology and Microbiology,BMC BIOTECHNOLOGY,1472-6750,3.5,3.5
Immunology and Microbiology,AMB Express,2191-0855,3.5,3.5
Immunology and Microbiology,FEMS MICROBIOLOGY ECOLOGY,1574-6941,3.5,3.5
Immunology and Microbiology,BIOTECHNOLOGY AND BIOENGINEERING,1097-0290,3.5,3.5
Immunology and Microbiology,JOURNAL OF BASIC MICROBIOLOGY,1521-4028,3.5,3.5
Immunology and Microbiology,CLINICAL AND EXPERIMENTAL IMMUNOLOGY,1365-2249,3.4,3.4
Immunology and Microbiology,Biocatalysis and Agricultural Biotechnology,1878-8181,3.4,3.4
Immunology and Microbiology,ENZYME AND MICROBIAL TECHNOLOGY,1879-0909,3.4,3.4
Immunology and Microbiology,IMMUNOLOGIC RESEARCH,1559-0755,3.3,3.3
Immunology and Microbiology,AUTOIMMUNITY,1607-842X,3.3,3.3
Immunology and Microbiology,IMMUNOLOGY LETTERS,1879-0542,3.3,3.3
Immunology and Microbiology,MICROBIAL ECOLOGY,1432-184X,3.3,3.3
Immunology and Microbiology,SYSTEMATIC AND APPLIED MICROBIOLOGY,1618-0984,3.3,3.3
Immunology and Microbiology,Fermentation-Basel,2311-5637,3.3,3.3
Immunology and Microbiology,MICROBIAL PATHOGENESIS,1096-1208,3.3,3.3
Immunology and Microbiology,Pathogens,2076-0817,3.3,3.3
Immunology and Microbiology,JOURNAL OF MICROBIOLOGY,1976-3794,3.3,3.3
Immunology and Microbiology,European Journal of Microbiology and Immunology,2062-8633,3.3,3.3
Immunology and Microbiology,MOLECULAR IMMUNOLOGY,1872-9142,3.2,3.2
Immunology and Microbiology,IMMUNOLOGY AND CELL BIOLOGY,1440-1711,3.2,3.2
Immunology and Microbiology,Biotechnology Journal,1860-7314,3.2,3.2
Immunology and Microbiology,JOURNAL OF APPLIED MICROBIOLOGY,1365-2672,3.2,3.2
Immunology and Microbiology,BIOTECHNOLOGY AND APPLIED BIOCHEMISTRY,1470-8744,3.2,3.2
Immunology and Microbiology,JOURNAL OF INDUSTRIAL MICROBIOLOGY & BIOTECHNOLOGY,1476-5535,3.2,3.2
Immunology and Microbiology,HUMAN IMMUNOLOGY,1879-1166,3.1,3.1
Immunology and Microbiology,Immunity Inflammation and Disease,2050-4527,3.1,3.1
Immunology and Microbiology,Current Clinical Microbiology Reports,2196-5471,3.1,3.1
Immunology and Microbiology,BIODEGRADATION,1572-9729,3.1,3.1
Immunology and Microbiology,APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY,1559-0291,3.1,3.1
Immunology and Microbiology,Antibodies,2073-4468,3.0,3
Immunology and Microbiology,Current Opinion in Allergy and Clinical Immunology,1473-6322,3.0,3
Immunology and Microbiology,Microbial Risk Analysis,2352-3530,3.0,3
Immunology and Microbiology,ANNALS OF MICROBIOLOGY,1869-2044,3.0,3
Immunology and Microbiology,IMMUNOGENETICS,1432-1211,2.9,2.9
Immunology and Microbiology,BMC IMMUNOLOGY,1471-2172,2.9,2.9
Immunology and Microbiology,IMMUNOLOGICAL INVESTIGATIONS,1532-4311,2.9,2.9
Immunology and Microbiology,ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS,1661-4917,2.9,2.9
Immunology and Microbiology,New Microbes and New Infections,2052-2975,2.9,2.9
Immunology and Microbiology,Microbial Physiology,2673-1673,2.9,2.9
Immunology and Microbiology,Molecular Oral Microbiology,2041-1014,2.8,2.8
Immunology and Microbiology,Innate Immunity,1753-4267,2.8,2.8
Immunology and Microbiology,International Journal of Microbiology,1687-9198,2.8,2.8
Immunology and Microbiology,IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA,1557-8607,2.7,2.7
Immunology and Microbiology,Immunotherapy,1750-7448,2.7,2.7
Immunology and Microbiology,JOURNAL OF BACTERIOLOGY,1098-5530,2.7,2.7
Immunology and Microbiology,BioTech,2673-6284,2.7,2.7
Immunology and Microbiology,TRANSGENIC RESEARCH,1573-9368,2.7,2.7
Immunology and Microbiology,AIMS Microbiology,2471-1888,2.7,2.7
Immunology and Microbiology,Pathogens and Disease,2049-632X,2.7,2.7
Immunology and Microbiology,Allergy Asthma and Clinical Immunology,1710-1492,2.6,2.6
Immunology and Microbiology,International Journal of Inflammation,2042-0099,2.6,2.6
Immunology and Microbiology,MICROBES AND INFECTION,1769-714X,2.6,2.6
Immunology and Microbiology,3 Biotech,2190-5738,2.6,2.6
Immunology and Microbiology,EXTREMOPHILES,1433-4909,2.6,2.6
Immunology and Microbiology,MOLECULAR MICROBIOLOGY,1365-2958,2.6,2.6
Immunology and Microbiology,Synthetic Biology,2397-7000,2.6,2.6
Immunology and Microbiology,MICROBIOLOGY-SGM,1465-2080,2.6,2.6
Immunology and Microbiology,CELLULAR MICROBIOLOGY,1462-5822,2.6,2.6
Immunology and Microbiology,Canadian Journal of Infectious Diseases & Medical Microbiology,1918-1493,2.6,2.6
Immunology and Microbiology,ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA,1578-1852,2.6,2.6
Immunology and Microbiology,PROTEIN ENGINEERING DESIGN & SELECTION,1741-0134,2.6,2.6
Immunology and Microbiology,INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY,1423-0097,2.5,2.5
Immunology and Microbiology,IMMUNOBIOLOGY,1878-3279,2.5,2.5
Immunology and Microbiology,ALLERGOLOGIA ET IMMUNOPATHOLOGIA,1578-1267,2.5,2.5
Immunology and Microbiology,BIOTECHNOLOGY AND BIOPROCESS ENGINEERING,1976-3816,2.5,2.5
Immunology and Microbiology,ANAEROBE,1095-8274,2.5,2.5
Immunology and Microbiology,JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY,1738-8872,2.5,2.5
Immunology and Microbiology,JOURNAL OF WATER AND HEALTH,1996-7829,2.5,2.5
Immunology and Microbiology,RESEARCH IN MICROBIOLOGY,1769-7123,2.5,2.5
Immunology and Microbiology,Future Microbiology,1746-0921,2.5,2.5
Immunology and Microbiology,JOURNAL OF MEDICAL MICROBIOLOGY,1473-5644,2.4,2.4
Immunology and Microbiology,FOLIA MICROBIOLOGICA,1874-9356,2.4,2.4
Immunology and Microbiology,MOLECULAR BIOTECHNOLOGY,1559-0305,2.4,2.4
Immunology and Microbiology,ASIAN PACIFIC JOURNAL OF ALLERGY AND IMMUNOLOGY,2228-8694,2.3,2.3
Immunology and Microbiology,International Journal of Immunogenetics,1744-313X,2.3,2.3
Immunology and Microbiology,ELECTRONIC JOURNAL OF BIOTECHNOLOGY,0717-3458,2.3,2.3
Immunology and Microbiology,ARCHIVES OF MICROBIOLOGY,1432-072X,2.3,2.3
Immunology and Microbiology,INTERNATIONAL MICROBIOLOGY,1618-1905,2.3,2.3
Immunology and Microbiology,CURRENT MICROBIOLOGY,1432-0991,2.3,2.3
Immunology and Microbiology,ARCHAEA-AN INTERNATIONAL MICROBIOLOGICAL JOURNAL,1472-3654,2.3,2.3
Immunology and Microbiology,EUROPEAN CYTOKINE NETWORK,1952-4005,2.2,2.2
Immunology and Microbiology,FEMS MICROBIOLOGY LETTERS,1574-6968,2.2,2.2
Immunology and Microbiology,Clinical and Experimental Vaccine Research,2287-366X,2.1,2.1
Immunology and Microbiology,Immuno,2673-5601,2.1,2.1
Immunology and Microbiology,Microbiology Research,2036-7481,2.1,2.1
Immunology and Microbiology,DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,1879-0070,2.1,2.1
Immunology and Microbiology,INDIAN JOURNAL OF MICROBIOLOGY,0973-7715,2.1,2.1
Immunology and Microbiology,MICROBES AND ENVIRONMENTS,1347-4405,2.1,2.1
Immunology and Microbiology,SYMBIOSIS,1878-7665,2.1,2.1
Immunology and Microbiology,BRAZILIAN JOURNAL OF MICROBIOLOGY,1678-4405,2.1,2.1
Immunology and Microbiology,JOURNAL OF EUKARYOTIC MICROBIOLOGY,1550-7408,2.1,2.1
Immunology and Microbiology,BIOTECHNOLOGY LETTERS,1573-6776,2.0,2
Immunology and Microbiology,INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,1466-5034,2.0,2
Immunology and Microbiology,PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY,1532-2297,2.0,2
Immunology and Microbiology,LETTERS IN APPLIED MICROBIOLOGY,1472-765X,2.0,2
Immunology and Microbiology,Polish Journal of Microbiology,2544-4646,2.0,2
Immunology and Microbiology,Infectious Microbes & Diseases,2641-5917,2.0,2
Immunology and Microbiology,GEN Biotechnology,2768-1556,2.0,2
Immunology and Microbiology,JOURNAL OF INTERFERON AND CYTOKINE RESEARCH,1557-7465,1.9,1.9
Immunology and Microbiology,TRANSFUSION MEDICINE AND HEMOTHERAPY,1660-3818,1.9,1.9
Immunology and Microbiology,EUROPEAN JOURNAL OF PROTISTOLOGY,1618-0429,1.9,1.9
Immunology and Microbiology,PROTIST,1618-0941,1.9,1.9
Immunology and Microbiology,MICROBIOLOGY AND IMMUNOLOGY,1348-0421,1.9,1.9
Immunology and Microbiology,PLASMID,1095-9890,1.8,1.8
Immunology and Microbiology,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,1572-9699,1.8,1.8
Immunology and Microbiology,REVISTA ARGENTINA DE MICROBIOLOGIA,1851-7617,1.8,1.8
Immunology and Microbiology,CANADIAN JOURNAL OF MICROBIOLOGY,1480-3275,1.8,1.8
Immunology and Microbiology,Autoimmune Diseases,2090-0430,1.7,1.7
Immunology and Microbiology,ANIMAL BIOTECHNOLOGY,1532-2378,1.7,1.7
Immunology and Microbiology,JOURNAL OF MICROBIOLOGICAL METHODS,1872-8359,1.7,1.7
Immunology and Microbiology,JOURNAL OF IMMUNOLOGICAL METHODS,1872-7905,1.6,1.6
Immunology and Microbiology,AQUATIC MICROBIAL ECOLOGY,1616-1564,1.6,1.6
Immunology and Microbiology,Iranian Journal of Biotechnology,1728-3043,1.6,1.6
Immunology and Microbiology,International Journal of Mycobacteriology,2212-554X,1.6,1.6
Immunology and Microbiology,Central European Journal of Immunology,1644-4124,1.5,1.5
Immunology and Microbiology,BIOTECHNOLOGY & BIOTECHNOLOGICAL EQUIPMENT,1314-3530,1.5,1.5
Immunology and Microbiology,New Microbiologica,1121-7138,1.5,1.5
Immunology and Microbiology,ACTA PROTOZOOLOGICA,1689-0027,1.5,1.5
Immunology and Microbiology,TRANSFUSION CLINIQUE ET BIOLOGIQUE,N/A,1.4,1.4
Immunology and Microbiology,Indian Journal of Medical Microbiology,1998-3646,1.4,1.4
Immunology and Microbiology,American Journal of Clinical and Experimental Immunology,2164-7712,1.4,1.4
Immunology and Microbiology,PROTEIN EXPRESSION AND PURIFICATION,1096-0279,1.4,1.4
Immunology and Microbiology,BIOCATALYSIS AND BIOTRANSFORMATION,1029-2446,1.4,1.4
Immunology and Microbiology,Crop Breeding and Applied Biotechnology,1518-7853,1.3,1.3
Immunology and Microbiology,ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,1588-2640,1.3,1.3
Immunology and Microbiology,MICROBIOLOGY,1608-3237,1.3,1.3
Immunology and Microbiology,Iranian Journal of Microbiology,2008-4447,1.3,1.3
Immunology and Microbiology,Industrial Biotechnology,1931-8421,1.3,1.3
Immunology and Microbiology,Iranian Journal of Allergy Asthma and Immunology,1735-5249,1.2,1.2
Immunology and Microbiology,Iranian Journal of Immunology,1735-367X,1.1,1.1
Immunology and Microbiology,Immunopathologia Persa,2423-8015,1.1,1.1
Immunology and Microbiology,Journal of Cutaneous Immunology and Allergy,2574-4593,1.1,1.1
Immunology and Microbiology,Journal of Pathogens,2090-3065,1.1,1.1
Immunology and Microbiology,MIKROBIYOLOJI BULTENI,0374-9096,1.1,1.1
Immunology and Microbiology,APPLIED BIOCHEMISTRY AND MICROBIOLOGY,1608-3024,1.0,1
Immunology and Microbiology,AIMS Allergy and Immunology,2575-615X,0.9,0.9
Immunology and Microbiology,BIOCONTROL SCIENCE,1884-0205,0.9,0.9
Immunology and Microbiology,CRITICAL REVIEWS IN IMMUNOLOGY,2162-6472,0.8,0.8
Immunology and Microbiology,JOURNAL OF GENERAL AND APPLIED MICROBIOLOGY,1349-8037,0.8,0.8
Immunology and Microbiology,Case Reports in Immunology,2090-6617,0.7,0.7
Immunology and Microbiology,Reviews and Research in Medical Microbiology,2770-3169,0.7,0.7
Immunology and Microbiology,Microbiology Australia,2201-9189,0.7,0.7
Immunology and Microbiology,Microbiology Resource Announcements,2576-098X,0.7,0.7
Immunology and Microbiology,Journal of Pure and Applied Microbiology,2581-690X,0.7,0.7
Immunology and Microbiology,Minerva Biotechnology and Biomolecular Research,2724-5934,0.7,0.7
Immunology and Microbiology,European Journal of Inflammation,2058-7392,0.6,0.6
Immunology and Microbiology,Jundishapur Journal of Microbiology,2008-4161,0.5,0.5
Immunology and Microbiology,Biotecnia,1665-1456,0.5,0.5
Immunology and Microbiology,EPIDEMIOLOGIE MIKROBIOLOGIE IMUNOLOGIE,N/A,0.5,0.5
Immunology and Microbiology,Malaysian Journal of Microbiology,2231-7538,0.4,0.4
Immunology and Microbiology,Molecular Genetics Microbiology and Virology,1934-841X,0.4,0.4
Immunology and Microbiology,LymphoSign Journal-The Journal of Inherited Immune Disorders,2292-5945,0.3,0.3
Immunology and Microbiology,Advancements of Microbiology,2545-3149,0.3,0.3
Immunology and Microbiology,Applied Biological Research,0974-4517,0.3,0.3
Immunology and Microbiology,Infectious Diseases and Clinical Microbiology,2667-646X,0.3,0.3
Immunology and Microbiology,Turkish Journal of Immunology,2147-8325,0.2,0.2
Immunology and Microbiology,Alergia Astma Immunologia,1427-3101,0.2,0.2
Immunology and Microbiology,BIOTECHNOLOGY LAW REPORT,1557-8704,0.2,0.2
Immunology and Microbiology,Research Journal of Biotechnology,2278-4535,0.2,0.2
Immunology and Microbiology,Flora Infeksiyon Hastaliklari ve Klinik Mikrobiyoloji Dergisi,2602-2842,0.1,0.1
Immunology and Microbiology,Asian Biotechnology and Development Review,0972-7566,0.1,<0.1
Materials Science,Nature Energy,2058-7546,49.7,49.7
Materials Science,eScience,2667-1417,42.9,42.9
Materials Science,Joule,2542-4351,38.6,38.6
Materials Science,PROGRESS IN MATERIALS SCIENCE,1873-2208,33.6,33.6
Materials Science,Advanced Powder Materials,2772-834X,28.6,28.6
Materials Science,InfoMat,2567-3165,22.7,22.7
Materials Science,EnergyChem,2589-7780,22.2,22.2
Materials Science,Materials Today,1873-4103,21.1,21.1
Materials Science,Journal of Bioresources and Bioproducts,2369-9698,20.2,20.2
Materials Science,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,1873-4707,20.1,20.1
Materials Science,SusMat,2692-4552,18.7,18.7
Materials Science,Journal of Advanced Ceramics,2227-8508,18.6,18.6
Materials Science,Bioactive Materials,2452-199X,18.0,18
Materials Science,Matter,2590-2385,17.3,17.3
Materials Science,Advanced Fiber Materials,2524-793X,17.2,17.2
Materials Science,INTERNATIONAL MATERIALS REVIEWS,1743-2804,16.8,16.8
Materials Science,International Journal of Extreme Manufacturing,2631-7990,16.1,16.1
Materials Science,SmartMat,2688-819X,15.3,15.3
Materials Science,Accounts of Materials Research,2643-6728,14.0,14
Materials Science,Aggregate,2692-4560,13.9,13.9
Materials Science,Energy & Environmental Materials,2575-0356,13.0,13
Materials Science,BIOMATERIALS,1878-5905,12.8,12.8
Materials Science,COMPOSITES PART B-ENGINEERING,1879-1069,12.7,12.7
Materials Science,npj Flexible Electronics,2397-4621,12.3,12.3
Materials Science,Materials Horizons,2051-6355,12.2,12.2
Materials Science,Materials Futures,2752-5724,12.0,12
Materials Science,Energy Materials,2770-5900,11.8,11.8
Materials Science,CEMENT AND CONCRETE RESEARCH,1873-3948,10.9,10.9
Materials Science,CEMENT & CONCRETE COMPOSITES,1873-393X,10.8,10.8
Materials Science,Journal of Materials Chemistry A,2050-7496,10.7,10.7
Materials Science,EcoMat,2567-3173,10.7,10.7
Materials Science,Annual Review of Materials Research,1545-4118,10.6,10.6
Materials Science,CARBON,1873-3891,10.5,10.5
Materials Science,Additive Manufacturing,2214-7810,10.3,10.3
Materials Science,Virtual and Physical Prototyping,1745-2767,10.2,10.2
Materials Science,ACS Materials Letters,2639-4979,9.6,9.6
Materials Science,Acta Biomaterialia,1878-7568,9.4,9.4
Materials Science,npj Computational Materials,2057-3960,9.4,9.4
Materials Science,Materials Today Energy,2468-6069,9.0,9
Materials Science,Battery Energy,2768-1696,9.0,9
Materials Science,Materials Today Bio,2590-0064,8.7,8.7
Materials Science,Materials Research Letters,2166-3831,8.6,8.6
Materials Science,Sustainable Materials and Technologies,2214-9937,8.6,8.6
Materials Science,NPG Asia Materials,1884-4057,8.6,8.6
Materials Science,COMPOSITES SCIENCE AND TECHNOLOGY,1879-1050,8.3,8.3
Materials Science,Biofabrication,1758-5090,8.2,8.2
Materials Science,COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,1878-5840,8.1,8.1
Materials Science,Materials Today Advances,2590-0498,8.1,8.1
Materials Science,Materials Science & Engineering C-Materials for Biological Applications,1873-0191,8.1,8.1
Materials Science,JOURNAL OF POWER SOURCES,1873-2755,8.1,8.1
Materials Science,Biomaterials Research,2055-7124,8.1,8.1
Materials Science,Current Opinion in Electrochemistry,2451-9103,7.9,7.9
Materials Science,MATERIALS & DESIGN,1873-4197,7.6,7.6
Materials Science,Communications Materials,2662-4443,7.5,7.5
Materials Science,Construction and Building Materials,1879-0526,7.4,7.4
Materials Science,SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,1878-5514,7.4,7.4
Materials Science,Applied Materials Today,2352-9407,7.2,7.2
Materials Science,CHEMISTRY OF MATERIALS,1520-5002,7.2,7.2
Materials Science,Materials Today Sustainability,2589-2347,7.1,7.1
Materials Science,Journal of Physics-Energy,2515-7655,7.0,7
Materials Science,Science China-Materials,2199-4501,6.8,6.8
Materials Science,International Journal of Bioprinting,2424-8002,6.8,6.8
Materials Science,JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,1873-4774,6.7,6.7
Materials Science,Materials Today Chemistry,2468-5194,6.7,6.7
Materials Science,TRANSACTIONS OF TIANJIN UNIVERSITY,1995-8196,6.7,6.7
Materials Science,npj Materials Degradation,2397-2106,6.6,6.6
Materials Science,Case Studies in Construction Materials,2214-5095,6.5,6.5
Materials Science,PROGRESS IN ORGANIC COATINGS,1873-331X,6.5,6.5
Materials Science,Composites Communications,2452-2139,6.5,6.5
Materials Science,Advanced Sustainable Systems,2366-7486,6.5,6.5
Materials Science,NEW CARBON MATERIALS,1872-5805,6.5,6.5
Materials Science,INFORMATION SYSTEMS JOURNAL,1365-2575,6.5,6.5
Materials Science,Advanced Materials Technologies,2365-709X,6.4,6.4
Materials Science,Advanced Energy and Sustainability Research,2699-9412,6.2,6.2
Materials Science,Journal of Materials Chemistry B,2050-7518,6.1,6.1
Materials Science,Solar RRL,2367-198X,6.0,6
Materials Science,Materials Chemistry Frontiers,2052-1537,6.0,6
Materials Science,FlatChem,2452-2627,5.9,5.9
Materials Science,Journal of the European Ceramic Society,1873-619X,5.8,5.8
Materials Science,Biomaterials Science,2047-4849,5.8,5.8
Materials Science,International Journal of Fatigue,1879-3452,5.7,5.7
Materials Science,ACS Materials Au,2694-2461,5.7,5.7
Materials Science,Regenerative Biomaterials,2056-3426,5.6,5.6
Materials Science,Biomaterials Advances,2772-9508,5.5,5.5
Materials Science,Carbon Letters,2233-4998,5.5,5.5
Materials Science,COLLOIDS AND SURFACES B-BIOINTERFACES,1873-4367,5.4,5.4
Materials Science,ACS Applied Energy Materials,N/A,5.4,5.4
Materials Science,ACS Biomaterials Science & Engineering,2373-9878,5.4,5.4
Materials Science,Journal of Power Sources Advances,2666-2485,5.4,5.4
Materials Science,Journal of Computer-Mediated Communication,1083-6101,5.4,5.4
Materials Science,WEAR,1873-2577,5.3,5.3
Materials Science,MATERIALS RESEARCH BULLETIN,1873-4227,5.3,5.3
Materials Science,Composites Part C: Open Access,2666-6820,5.3,5.3
Materials Science,Materials Advances,2633-5409,5.2,5.2
Materials Science,Ceramics International,1873-3956,5.1,5.1
Materials Science,Tissue Engineering Part B-Reviews,1937-3376,5.1,5.1
Materials Science,Batteries & Supercaps,2566-6223,5.1,5.1
Materials Science,Information Technology for Development,1554-0170,5.1,5.1
Materials Science,Journal of Functional Biomaterials,2079-4983,5.0,5
Materials Science,Sustainable Energy & Fuels,2398-4902,5.0,5
Materials Science,Journal of Physics-Materials,2515-7639,4.9,4.9
Materials Science,Information Technology & People,1758-5813,4.9,4.9
Materials Science,Liquid Crystals Reviews,2168-0418,4.8,4.8
Materials Science,Progress in Natural Science-Materials International,1745-5391,4.8,4.8
Materials Science,Emergent Materials,2522-574X,4.8,4.8
Materials Science,Journal of Sustainable Cement-Based Materials,2165-0381,4.7,4.7
Materials Science,DENTAL MATERIALS,1879-0097,4.6,4.6
Materials Science,Batteries-Basel,2313-0105,4.6,4.6
Materials Science,Publications,2304-6775,4.6,4.6
Materials Science,Artificial Cells Nanomedicine and Biotechnology,2169-141X,4.5,4.5
Materials Science,2D Materials,2053-1583,4.5,4.5
Materials Science,PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS,1878-4208,4.5,4.5
Materials Science,International Journal of Smart and Nano Materials,1947-542X,4.5,4.5
Materials Science,Journal of Global Information Management,1533-7995,4.5,4.5
Materials Science,Engineering Failure Analysis,1873-1961,4.4,4.4
Materials Science,Science China-Technological Sciences,1869-1900,4.4,4.4
Materials Science,Archives of Civil and Mechanical Engineering,2083-3318,4.4,4.4
Materials Science,Progress in Biomaterials,2194-0517,4.4,4.4
Materials Science,Progress in Additive Manufacturing,2363-9520,4.4,4.4
Materials Science,ACS Applied Electronic Materials,2637-6113,4.3,4.3
Materials Science,MATERIALS CHEMISTRY AND PHYSICS,1879-3312,4.3,4.3
Materials Science,Advanced Materials Interfaces,2196-7350,4.3,4.3
Materials Science,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,1362-3087,4.3,4.3
Materials Science,Advances in Manufacturing,2195-3597,4.2,4.2
Materials Science,Additive Manufacturing Letters,2772-3690,4.2,4.2
Materials Science,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,1573-4838,4.2,4.2
Materials Science,International Journal of Computer-Supported Collaborative Learning,1556-1615,4.2,4.2
Materials Science,NDT & E INTERNATIONAL,1879-1174,4.1,4.1
Materials Science,DYES AND PIGMENTS,1873-3743,4.1,4.1
Materials Science,MATERIALS AND MANUFACTURING PROCESSES,1532-2475,4.1,4.1
Materials Science,Particuology,2210-4291,4.1,4.1
Materials Science,Quantitative Science Studies,2641-3337,4.1,4.1
Materials Science,STEEL AND COMPOSITE STRUCTURES,1598-6233,4.0,4
Materials Science,Fibers,2079-6439,4.0,4
Materials Science,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,1552-4965,3.9,3.9
Materials Science,Biomedical Materials,1748-605X,3.9,3.9
Materials Science,C-Journal of Carbon Research,2311-5629,3.9,3.9
Materials Science,Smart Materials and Structures,1361-665X,3.7,3.7
Materials Science,Materials Today Communications,2352-4928,3.7,3.7
Materials Science,LANGMUIR,1520-5827,3.7,3.7
Materials Science,Journal of Information Display,2158-1606,3.7,3.7
Materials Science,International Journal of Concrete Structures and Materials,2234-1315,3.6,3.6
Materials Science,Materials for Renewable and Sustainable Energy,2194-1467,3.6,3.6
Materials Science,JOURNAL OF THERMOPLASTIC COMPOSITE MATERIALS,1530-7980,3.6,3.6
Materials Science,JOURNAL OF SANDWICH STRUCTURES & MATERIALS,1530-7972,3.5,3.5
Materials Science,JOURNAL OF THE AMERICAN CERAMIC SOCIETY,1551-2916,3.5,3.5
Materials Science,Tissue Engineering Part A,1937-335X,3.5,3.5
Materials Science,JOURNAL OF MATERIALS SCIENCE,1573-4803,3.5,3.5
Materials Science,International Journal of Pavement Engineering,1477-268X,3.4,3.4
Materials Science,RAPID PROTOTYPING JOURNAL,1758-7670,3.4,3.4
Materials Science,Biomimetics,2313-7673,3.4,3.4
Materials Science,Fire Safety Journal,1873-7226,3.4,3.4
Materials Science,MATERIALS AND STRUCTURES,1871-6873,3.4,3.4
Materials Science,Road Materials and Pavement Design,2164-7402,3.4,3.4
Materials Science,ADVANCED ENGINEERING MATERIALS,1527-2648,3.4,3.4
Materials Science,International Journal of Mechanical and Materials Engineering,2198-2791,3.4,3.4
Materials Science,Journal of the Mechanical Behavior of Biomedical Materials,1878-0180,3.3,3.3
Materials Science,Journal of Manufacturing and Materials Processing,2504-4494,3.3,3.3
Materials Science,CRYSTAL GROWTH & DESIGN,1528-7505,3.2,3.2
Materials Science,Journal of Non-Crystalline Solids,1873-4812,3.2,3.2
Materials Science,JOURNAL OF THERMAL SPRAY TECHNOLOGY,1544-1016,3.2,3.2
Materials Science,INTERNATIONAL JOURNAL OF ADHESION AND ADHESIVES,1879-0127,3.2,3.2
Materials Science,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,1552-4981,3.2,3.2
Materials Science,Energy Advances,2753-1457,3.2,3.2
Materials Science,Advanced Biology,2701-0198,3.2,3.2
Materials Science,WOOD SCIENCE AND TECHNOLOGY,1432-5225,3.1,3.1
Materials Science,FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES,1460-2695,3.1,3.1
Materials Science,JOURNAL OF MATERIALS IN CIVIL ENGINEERING,1943-5533,3.1,3.1
Materials Science,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,1945-7111,3.1,3.1
Materials Science,COMPUTATIONAL MATERIALS SCIENCE,1879-0801,3.1,3.1
Materials Science,Physical Review Materials,2475-9953,3.1,3.1
Materials Science,Journal of Applied Biomaterials & Functional Materials,2280-8000,3.1,3.1
Materials Science,Carbon Trends,2667-0569,3.1,3.1
Materials Science,Functional Composites and Structures,2631-6331,3.1,3.1
Materials Science,Nondestructive Testing and Evaluation,1477-2671,3.0,3
Materials Science,International Journal of Pavement Research and Technology,1997-1400,3.0,3
Materials Science,Materialia,2589-1529,3.0,3
Materials Science,BioNanoScience,2191-1649,3.0,3
Materials Science,Journal of Composites Science,2504-477X,3.0,3
Materials Science,International Journal of Biomaterials,1687-8795,3.0,3
Materials Science,Computers and Concrete,1598-818X,2.9,2.9
Materials Science,IUCrJ,2052-2525,2.9,2.9
Materials Science,Open Ceramics,2666-5395,2.9,2.9
Materials Science,MATERIALS TECHNOLOGY,1753-5557,2.9,2.9
Materials Science,Oxford Open Materials Science,2633-6979,2.9,2.9
Materials Science,Journal of Natural Fibers,1544-046X,2.8,2.8
Materials Science,GEOSYNTHETICS INTERNATIONAL,1751-7613,2.8,2.8
Materials Science,Advances in Production Engineering & Management,1855-6531,2.8,2.8
Materials Science,Flexible and Printed Electronics,2058-8585,2.8,2.8
Materials Science,Silicon,1876-9918,2.8,2.8
Materials Science,Prosthesis,2673-1592,2.8,2.8
Materials Science,International Journal of Corrosion and Scale Inhibition,2305-6894,2.8,2.8
Materials Science,BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y VIDRIO,2173-0431,2.7,2.7
Materials Science,Surface Innovations,2050-6260,2.7,2.7
Materials Science,Tissue Engineering Part C-Methods,1937-3392,2.7,2.7
Materials Science,Journal of the Korean Ceramic Society,2234-0491,2.7,2.7
Materials Science,MACHINING SCIENCE AND TECHNOLOGY,1532-2483,2.7,2.7
Materials Science,Ceramics-Switzerland,2571-6131,2.7,2.7
Materials Science,JOURNAL OF MATERIALS RESEARCH,2044-5326,2.7,2.7
Materials Science,JOURNAL OF NONDESTRUCTIVE EVALUATION,1573-4862,2.6,2.6
